city,region,variant,date,household_type,adult_equivalents,g1_food,g2_housing,g3_household_articles,g4_clothing,g5_transport,g6_health_personal,g7_personal_expenses,g8_education,g9_communication,omal_total,sample_n,effective_n,shrinkage_city_weight
Curitiba,South,expanded,2020-06-01,2 adults + 2 children,2.1,986.8290136206201,1908.5361551893375,152.14431037981842,179.84137257181155,705.2173068475993,543.5975345266945,27.006485691046798,269.88944134747834,241.5908710968097,5014.652491271217,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-07-01,2 adults + 2 children,2.1,988.8026716478614,1895.176402103012,155.76534496685812,179.98524566986896,716.0071316423675,544.5216503353898,27.006485691046798,268.56698308487574,241.8807801421259,5017.712695283406,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-08-01,2 adults + 2 children,2.1,1002.6459090509316,1892.523155140068,156.65320743316923,179.21130911348854,720.1599730058934,547.4620672472009,26.87415391116067,259.59684584984086,241.4212066598558,5026.547827411609,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-09-01,2 adults + 2 children,2.1,1022.4982980501401,1898.7684815520304,158.0004250170945,181.5410561319639,728.0097167116576,541.8232079545548,26.90640289585406,259.6747249035958,241.20392757386196,5058.426240790753,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-10-01,2 adults + 2 children,2.1,1044.9932606072432,1911.1104766821186,160.2124309673338,183.6832405943211,737.5466440005804,544.3155947111458,26.952143780777014,259.6747249035958,240.16675068529432,5108.65526693241,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-11-01,2 adults + 2 children,2.1,1066.624621101813,1913.212698206469,161.6863853322333,185.04249657471908,747.0609957081878,543.7168475569634,27.057257141522047,259.8045622660476,240.50298413625373,5144.708848024209,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-12-01,2 adults + 2 children,2.1,1084.0106024257723,1986.1061020081356,164.9362816774112,184.65390733191217,755.7269032584028,545.2936264148786,27.195249152943813,260.27221047812645,242.1143541299666,5250.30923687755,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-01-01,2 adults + 2 children,2.1,1100.5959646428867,1962.2728287840382,166.7010998913595,185.2817306168407,760.7147008199081,546.6023311182744,27.31218872430147,260.7927548990827,241.84802834042367,5252.121627837116,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-02-01,2 adults + 2 children,2.1,1098.8350110994584,1988.1748301239875,167.9513581405447,184.61471638662005,782.1668553830295,549.608643939425,27.21113362602155,263.66147520297255,241.0015602412322,5303.225584143292,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-03-01,2 adults + 2 children,2.1,1109.3838272060132,2002.4896889008805,169.41253495636744,184.3931787269561,814.9396466235786,549.8834482613945,27.132221338506085,262.63319544968095,241.0015602412322,5361.2693017046095,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-04-01,2 adults + 2 children,2.1,1109.3838272060132,2000.6874481808695,170.49677518008815,184.61445054142845,823.1705370544767,558.5166183990984,27.243463445993964,262.580668810591,240.39905634062916,5377.092845159188,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-05-01,2 adults + 2 children,2.1,1116.4838837001316,2041.5014721237592,172.28699131947906,186.95905406330462,833.2955346602466,561.8677181094931,27.284328641162954,262.8695075462827,240.37501643499513,5442.923506598855,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-06-01,2 adults + 2 children,2.1,1120.838170846562,2090.497507454729,174.18214822399332,189.0342995634073,834.0455006414409,564.5084963846076,27.308884536939996,262.92208144779187,239.89426640212514,5503.231355501597,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-07-01,2 adults + 2 children,2.1,1145.0482753368478,2174.9536067559,175.34916861709405,191.71858661720768,845.054901249908,564.677848933523,27.524624724781823,263.31646456996356,240.94980117429446,5628.59327797952,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-08-01,2 adults + 2 children,2.1,1153.8651470569414,2190.830768085219,175.9804256241156,194.3834749711869,864.4911639786558,566.3718824803235,27.75307910999751,270.42600911335256,241.9617903392265,5686.063740759018,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-09-01,2 adults + 2 children,2.1,1167.942301851036,2256.3366080509672,178.18018094441706,194.9277487011062,884.9796045649499,569.4869278339653,28.06391359602949,270.4800943151753,241.93759416019256,5792.334974017839,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-10-01,2 adults + 2 children,2.1,1178.8041652582508,2288.6022215460957,181.405242219511,199.62550744480288,906.7501028372476,574.4414641061209,28.27158655664011,271.0210545038056,244.40535762062655,5873.326702093101,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-11-01,2 adults + 2 children,2.1,1177.7432415095184,2318.58291064835,183.67280774725486,200.04472101043694,932.1391057166906,573.9244667884253,28.5627838981735,271.1294629256071,244.9430494073919,5930.742549651849,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2021-12-01,2 adults + 2 children,2.1,1181.0409225857447,2332.2625498211755,186.942183725156,203.9055841259384,934.0965978386956,577.9419380559441,28.805567561307978,270.99389819414426,244.99203801727336,5960.98127992538,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-01-01,2 adults + 2 children,2.1,1194.5047891032225,2328.064477231497,188.77421712566257,201.6014510253153,937.0857069517796,581.4673838780855,29.093623236921054,271.1293951432413,246.85397750620467,5978.575021201929,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-02-01,2 adults + 2 children,2.1,1211.5862075873986,2314.5617032635546,192.2476627207747,204.70611337110515,958.3575524995849,582.9210523377806,29.233272628458277,284.3876225657458,247.42174165446892,6025.422928628872,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-03-01,2 adults + 2 children,2.1,1241.6335455355659,2340.0218819994534,193.1320019692903,208.32941157777373,1009.2463385373129,591.6065760176134,29.40282560970334,285.041714097647,247.10009339031814,6145.5143887346785,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-04-01,2 adults + 2 children,2.1,1267.583686637259,2293.9234509240637,194.67705798504457,211.30852216333588,1024.6878075169338,603.2020649075588,29.438109000434988,285.0987224404665,247.2483534463523,6157.167775021449,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-05-01,2 adults + 2 children,2.1,1277.344081024366,2245.0628814193815,195.90352345035038,216.82367459179898,1033.7050602230827,608.5705632852361,29.499929029335902,284.92766320700224,249.47358862736945,6141.310964857923,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-06-01,2 adults + 2 children,2.1,1286.7964272239465,2258.084246131614,195.88393309800534,219.44724105435975,1041.4578481747558,613.9868412984746,29.626778724162047,285.4120402344541,250.14716731666334,6180.842523256435,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-07-01,2 adults + 2 children,2.1,1303.010062206968,2191.244952446118,195.13957415223288,217.9111103669792,990.3222678293752,617.5479649780057,30.014889525448577,285.4120402344541,249.24663751432334,6079.849499253905,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-08-01,2 adults + 2 children,2.1,1308.0918014495753,2191.0258279508735,195.25665789672425,218.36872369874985,965.267114453292,624.4027473892615,30.227995241079267,285.98286431492306,245.95658189913428,6064.580314293613,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-09-01,2 adults + 2 children,2.1,1304.8215719459515,2208.773137157276,197.58021212569525,223.63140993988975,946.6374591443434,630.3345734894596,30.512138396345414,286.4690351842584,241.65234171589944,6070.411879099119,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-10-01,2 adults + 2 children,2.1,1310.0408582337354,2160.8427600809623,199.16085382270083,224.6153881436252,953.1692576124393,638.6549898595206,30.69216001288385,286.66956350888734,241.19320226663922,6045.039033541394,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-11-01,2 adults + 2 children,2.1,1309.909854147912,2161.2749286329786,197.02983268679793,224.5255419883678,965.6557748871624,636.4196973950123,30.6522602048671,286.72689742158906,240.61433858119932,6052.809125945886,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2022-12-01,2 adults + 2 children,2.1,1316.066430462407,2166.2458609688338,198.96072504712856,226.1421258906841,978.2092999606955,646.666054523072,30.707434273235865,287.27167852669015,241.16775155993605,6091.437361212683,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-01-01,2 adults + 2 children,2.1,1313.6975108875747,2177.2937148597753,199.59739936727937,225.1471005367651,967.6446395211199,647.0540541557858,31.066711254232725,288.70803691932355,245.26760333645498,6095.4767708383115,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-02-01,2 adults + 2 children,2.1,1320.1346286909234,2219.0977541850834,200.37582922481178,225.05704169655036,974.7084453896243,657.8598568601874,31.225151481629315,302.4216686729914,247.47501176648305,6178.355387968284,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-03-01,2 adults + 2 children,2.1,1325.283153742818,2245.948837010723,201.29755803924593,224.92200747153242,996.8343270999686,664.2410974717312,31.37190969359297,302.4519108398588,249.0835993429652,6241.434400712436,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-04-01,2 adults + 2 children,2.1,1331.6445128807836,2263.916427706809,202.62612192230492,226.76636793279897,1002.2172324663086,673.0755040681054,31.31857744711386,302.7846079417826,250.10484210027136,6284.454194466278,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-05-01,2 adults + 2 children,2.1,1337.636913188747,2287.008375269418,201.04563817131094,229.8050372630985,994.3999380530714,678.9985685039046,31.597312786393168,302.87544332416513,250.4299783950017,6313.797204955111,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-06-01,2 adults + 2 children,2.1,1326.1332357353238,2310.335860697166,200.7038605864197,230.88512093823505,995.2948979973189,680.2207659272117,31.635229561736846,303.3600440334838,250.12946242092772,6328.698477897823,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-07-01,2 adults + 2 children,2.1,1328.7855022067943,2315.6496331767694,200.74400135853696,229.6152527730748,1000.2713724873055,683.2137372972915,31.809223324326396,303.2083640114671,250.22951420589607,6343.526600841462,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-08-01,2 adults + 2 children,2.1,1310.4482622763408,2358.7207163538574,201.30608456234083,229.98263717751172,1008.6736520161988,684.3068792769672,31.946002984620996,305.1185767047393,249.2786420519136,6379.781453404491,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2023-09-01,2 adults + 2 children,2.1,1302.5855727026824,2359.4283325687634,199.85668075349196,230.327611133278,1022.189878953216,685.9492157872319,31.882110978651756,305.21011227775074,249.60270428658112,6387.032219441648,90.0,72.44947043839824,0.4752359600204293
