city,region,variant,date,household_type,adult_equivalents,food,housing,other,omal_total,sample_n,effective_n,shrinkage_city_weight
São Paulo,Southeast,core,2022-04-01,2 adults + 2 children,2.1,1320.5559436596761,2598.6276516448606,1887.2402585416173,5806.423853846154,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-05-01,2 adults + 2 children,2.1,1328.2151681329026,2547.6945496726216,1893.8455994465128,5769.7553172520375,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-06-01,2 adults + 2 children,2.1,1343.8881071168705,2559.413944601116,1905.3980576031367,5808.700109321124,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-07-01,2 adults + 2 children,2.1,1362.702540616507,2583.4724356803663,1904.0642789628143,5850.2392552596875,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-08-01,2 adults + 2 children,2.1,1368.5621615411578,2604.9152568965137,1903.873872534918,5877.35129097259,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-09-01,2 adults + 2 children,2.1,1351.181422089585,2625.233595900306,1897.7814761428062,5874.196494132698,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-10-01,2 adults + 2 children,2.1,1364.1527637416452,2630.7465864516967,1910.3068338853486,5905.20618407869,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-11-01,2 adults + 2 children,2.1,1366.1989928872576,2641.795722114794,1917.94806122089,5925.942776222942,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-12-01,2 adults + 2 children,2.1,1376.71872513249,2641.795722114794,1929.8393392004596,5948.353786447744,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-01-01,2 adults + 2 children,2.1,1387.1817874434967,2653.9479824365217,1942.9622467070224,5984.09201658704,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-02-01,2 adults + 2 children,2.1,1392.4530782357822,2674.91417149777,1960.8374993767272,6028.204749110279,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-03-01,2 adults + 2 children,2.1,1393.8455313140175,2674.111697246321,1972.2103568731122,6040.167585433451,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-04-01,2 adults + 2 children,2.1,1408.4809093928147,2682.9362658472337,1985.4241662641618,6076.8413415042105,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-05-01,2 adults + 2 children,2.1,1414.2556811213253,2697.1558280562244,1990.1891842631956,6101.600693440745,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-06-01,2 adults + 2 children,2.1,1405.4872958983735,2722.509092839953,1989.9901653447694,6117.986554083096,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-07-01,2 adults + 2 children,2.1,1398.740956878061,2688.4777291794535,1989.5921673117005,6076.810853369216,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-08-01,2 adults + 2 children,2.1,1388.2503997014755,2702.995508917023,1993.9692700797862,6085.215178698285,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-09-01,2 adults + 2 children,2.1,1378.5326469035651,2717.591684665175,2001.5463533060893,6097.670684874829,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-10-01,2 adults + 2 children,2.1,1388.320228696581,2704.819003747249,2006.149909918693,6099.289142362523,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-11-01,2 adults + 2 children,2.1,1396.5113180458907,2722.9412910723554,2014.5757395403518,6134.028348658598,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2023-12-01,2 adults + 2 children,2.1,1410.1971289627404,2727.8425853962854,2025.45444853387,6163.4941628928955,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-01-01,2 adults + 2 children,2.1,1420.6325877170648,2744.2096409086635,2030.5180846552046,6195.360313280933,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-02-01,2 adults + 2 children,2.1,1437.2539889933546,2744.2096409086635,2049.401902842498,6230.865532744517,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-03-01,2 adults + 2 children,2.1,1446.021238326214,2744.758482836845,2052.271065506478,6243.050786669537,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-04-01,2 adults + 2 children,2.1,1458.6016230996518,2745.3074345334126,2059.4540142357505,6263.363071868815,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-05-01,2 adults + 2 children,2.1,1465.3111905659102,2768.9170784703992,2067.0739940884228,6301.302263124733,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-06-01,2 adults + 2 children,2.1,1476.7406178523242,2775.0086960430344,2073.0685086712792,6324.817822566638,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-07-01,2 adults + 2 children,2.1,1466.1080854037878,2790.8262456104794,2083.8484649163697,6340.782795930636,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-08-01,2 adults + 2 children,2.1,1464.2021448927628,2779.9420232525986,2085.932313381286,6330.0764815266475,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-09-01,2 adults + 2 children,2.1,1472.9873577621195,2824.9770840292904,2093.4416697094584,6391.406111500868,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-10-01,2 adults + 2 children,2.1,1493.1672845634605,2867.0692425813268,2107.4677288965117,6467.704256041299,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-11-01,2 adults + 2 children,2.1,1514.2209432758052,2824.923324715382,2115.8975998120977,6455.041867803285,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2024-12-01,2 adults + 2 children,2.1,1534.965770198684,2804.0188921124877,2126.900267331121,6465.884929642292,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-01-01,2 adults + 2 children,2.1,1546.3245168981541,2736.161634923366,2130.0906177321176,6412.576769553638,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-02-01,2 adults + 2 children,2.1,1548.7986361251915,2848.8914942822084,2155.225687021357,6552.915817428757,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-03-01,2 adults + 2 children,2.1,1573.8891740304196,2860.287060259337,2170.527789399209,6604.704023688965,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-04-01,2 adults + 2 children,2.1,1591.044566027351,2862.8613186135703,2181.814533904085,6635.720418545006,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-05-01,2 adults + 2 children,2.1,1591.2036704839538,2874.312763888024,2184.43271134477,6649.949145716748,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-06-01,2 adults + 2 children,2.1,1592.7948741544374,2895.582678340796,2190.7675662076695,6679.145118702903,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-07-01,2 adults + 2 children,2.1,1589.1314459438825,2962.181079942634,2200.845097012225,6752.1576228987415,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-08-01,2 adults + 2 children,2.1,1587.0655750641554,2945.88908400295,2203.045942109237,6736.000601176342,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-09-01,2 adults + 2 children,2.1,1587.5416947366746,3021.009255645025,2215.603303979259,6824.1542543609585,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-10-01,2 adults + 2 children,2.1,1587.0654322282537,3014.6651362081707,2216.4895453008508,6818.220113737276,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-11-01,2 adults + 2 children,2.1,1589.604736919819,3023.1061985895535,2222.6957160276934,6835.406651537066,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2025-12-01,2 adults + 2 children,2.1,1589.286815972435,3014.9438118533617,2228.6969944609677,6832.927622286765,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2026-01-01,2 adults + 2 children,2.1,1591.3528888331991,3016.149789378103,2234.937346045458,6842.44002425676,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2026-02-01,2 adults + 2 children,2.1,1599.4687885662488,3025.1982387462363,2256.616238302099,6881.283265614585,147,121.3007986769722,0.6025847859233974
